date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
2/17/2022,5,std,,,,,1:08 PM,31.9,1,400,,,,
2/17/2022,5,std,,,,,1:09 PM,33.2,1,400,,,,
2/17/2022,5,std,,,,,1:10 PM,32.8,1,400,,,,
2/17/2022,5,std,,,,,1:11 PM,33.4,1,400,,,,
2/17/2022,5,std,,,,,13:12,33,1,400,,,,
2/17/2022,5,std,,,,,1:17 PM,25,1,2500,,,1,
2/17/2022,5,std,,,,,1:18 PM,82.9,1,2500,,,1,
2/17/2022,5,std,,,,,1:19 PM,165.5,1,2500,,,1,
2/17/2022,5,std,,,,,1:20 PM,184,1,2500,,,,
2/17/2022,5,std,,,,,1:21 PM,187.4,1,2500,,,,
2/17/2022,5,std,,,,,1:23 PM,186.1,1,2500,,,,
2/17/2022,5,V,,,,start,1:37 PM,54,,,,,,
2/17/2022,5,V,,,,start,1:39 PM,57.4,,,,,,
2/17/2022,5,V,,,,start,1:40 PM,58.8,,,,,,
2/17/2022,5,V,,,,start,1:41 PM,61.7,,,,,,
2/17/2022,5,V,,,,start,1:42 PM,63.2,,,,,,
2/17/2022,5,W,,,,start,1:44 PM,45.5,,,,,,
2/17/2022,5,W,,,,start,1:45 PM,46.1,,,,,,
2/17/2022,5,W,,,,start,1:46 PM,46.6,,,,,,
2/17/2022,5,W,,,,start,1:47 PM,46,,,,,,
2/17/2022,5,W,,,,start,1:48 PM,46.6,,,,,,
2/17/2022,5,G,,,,start,1:54 PM,82.2,,,,,,
2/17/2022,5,S,,,,start,1:55 PM,90.5,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
