date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
2/22/2022,5,std,,,,,4:37 PM,32.5,1,400,,,,
2/22/2022,5,std,,,,,4:38 PM,33.4,1,400,,,,
2/22/2022,5,std,,,,,4:39 PM,33.5,1,400,,,,
22-Feb,5,std,,,,,4:43 PM,81,1,2500,,,1,
2/22/2022,5,std,,,,,4:44 PM,157,1,2500,,,1,
2/22/2022,5,std,,,,,4:45 PM,181.9,1,2500,,,,
2/22/2022,5,std,,,,,4:47 PM,182.7,1,2500,,,,
2/22/2022,5,std,,,,,4:48 PM,192.8,1,2500,,,,
2/22/2022,5,std,,,,,4:51 PM,1380,1,20000,,,,
2/22/2022,5,std,,,,,4:53 PM,1382,1,20000,,,,
2/22/2022,5,std,,,,,4:55 PM,1380,1,20000,,,,
,5,G,,,,end,5:02 PM,723.9,,,0.1,0.9,,
,5,W,,,,end,5:05 PM,223.4,,,0.1,0.9,,
,5,V,,,,end,5:07 PM,367.7,,,0.1,0.9,,
,5,S,,,,end,5:08 PM,517.7,,,0.1,0.9,,
,5,G,,,,start,5:11 PM,1072.2,,,,,,
,5,W,,,,start,5:14 PM,57.4,,,,,,
,5,V,,,,start,5:15 PM,110.8,,,,,,
,5,S,,,,start,5:17 PM,621.8,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
