date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
2/23/2022,5.00,std,,,,,9:02 AM,33.-0,1,400,,,,
2/23/2022,5.00,std,,,,,9:03 AM,32.8,1,400,,,,
2/23/2022,5.00,std,,,,,9:04 AM,32.9,1,400,,,,
2/23/2022,5.00,std,,,,,9:08 AM,137.4,1,2500,,,1,
2/23/2022,5.00,std,,,,,9:09 AM,165.7,1,2500,,,1,
2/23/2022,5.00,std,,,,,9:10 AM,172.2,1,2500,,,1,
2/23/2022,5.00,std,,,,,9:11 AM,180.7,1,2500,,,1,
2/23/2022,5.00,std,,,,,9:13 AM,185.3,1,2500,,,,
2/23/2022,5.00,std,,,,,9:14 AM,183.1,1,2500,,,,
2/23/2022,5.00,std,,,,,9:17 AM,1362.9,1,20000,,,,
2/23/2022,5.00,std,,,,,9:18 AM,1377.9,1,20000,,,,
2/23/2022,5.00,std,,,,,9:21 AM,1363.3,1,20000,,,,
,5.00,,,,,,,,,,,,,
2/23/2022,5.00,G,,,,end,9:24 AM,312.8,,,0.1,0.9,,
2/23/2022,5.00,V,,,,end,9:25 AM,176.3,,,0.1,0.9,,
2/23/2022,5.00,S,,,,end,9:27 AM,234.6,,,0.1,0.9,,
2/23/2022,5.00,W,,,,end,9:29 AM,78,,,,,1,
2/23/2022,5.00,W,,,,end,9:30 AM,567.9,,,,,,
2/23/2022,5.00,G,,,,start,9:58 AM,68.7,,,,,,
2/23/2022,5.00,V,,,,start,9:59 AM,66.5,,,,,,
2/23/2022,5.00,S,,,,start,10:00 AM,70.4,,,,,,
2/23/2022,5.00,W,,,,start,10:00 AM,42.7,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
