date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
30-Mar,5,std,,,,,9:51,36.3,1,400,,,,from licor raw data
30-Mar,5,std,,,,,9:54,36.5,1,400,,,,from licor raw data
30-Mar,5,std,,,,,9:55,35.5,1,400,,,,from licor raw data
3/30/2022,5,std,,,,,10:00,82.6,1,1000,,,,
3/30/2022,5,std,,,,,10:01,82.9,1,1000,,,,
30-Mar,5,std,,,,,10:02,82.9,1,1000,,,,
,5,std,,,,,10:06,197.3,1,2500,,,,
,5,std,,,,,10:07,198.2,1,2500,,,,
,5,std,,,,,10:08,200.1,1,2500,,,,
,5,std,,,,,10:14,337.8,1,5000,,,,
,5,std,,,,,10:16,332.6,1,5000,,,,
,5,std,,,,,10:17,337.6,1,5000,,,,
,5,,,,,,,,,,,,,
,5,G,,,,,,,,,,,,
,5,V,,,,,10:46 AM,,,,,,,
,5,S,,,,,,,,,,,,
,5,W,,,,end,end,10:19,209.2,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
