date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
2/10/2022,5.00,std,,,,,3:36 PM,33.2,1,400,,,,
2/10/2022,5.00,std,,,,,3:39 PM,33.3,1,400,,,,
2/10/2022,5.00,std,,,,,3:40 PM,33.6,1,400,,,,
2/10/2022,5.00,std,,,,,3:43 PM,33.7,1,400,,,,
2/10/2022,5.00,std,,,,,3:45 PM,32.9,1,400,,,,
2/10/2022,5.00,std,,,,,3:50 PM,373.7,1,5000,,,,
2/10/2022,5.00,std,,,,,3:51 PM,367.5,1,5000,,,,
2/10/2022,5.00,std,,,,,3:53 PM,372.4,1,5000,,,,
2/10/2022,5.00,test1,,,,,4:02 PM,2000,,,,,1,
2/10/2022,5.00,,,,,,4:05 PM,125.8,,,,,,
2/10/2022,5.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
